#period	period time	calc time
561	3001	1499
562	2495	2001
563	996	4245
564	996	5993
565	6991	1755
566	2249	1999
567	5504	1486
568	2483	1757
569	2504	1990
570	5998	1992
571	2998	501
572	2998	2254
573	2993	2005
574	1755	1005
575	1755	2750
576	3499	1757
577	5744	1751
578	2998	501
579	2998	2254
580	2998	1500
581	2248	4758
582	5499	2031
583	2487	6769
584	7510	1741
585	2492	1991
586	2998	1751
587	5748	1749
588	2497	2001
589	2748	2001
590	5989	1502
591	2250	2017
592	2755	1989
593	5495	1750
594	2502	1999
595	5498	1747
596	2492	1760
597	2490	1759
598	5504	1496
599	2243	2003
600	2762	1998
601	5989	1750
602	2246	2001
603	2748	2000
604	5996	1503
605	2494	1754
606	2502	1753
607	5996	1497
608	2506	1746
609	2489	1754
610	5996	1753
611	2499	1752
612	2501	2003
613	4996	1751
614	2497	1752
615	6493	1759
616	2499	1762
617	2502	1749
618	5996	1748
619	2509	1743
620	2489	2002
621	4997	1747
622	2498	1752
623	6485	1500
624	2494	1769
625	2507	1780
626	6004	1745
627	2496	1750
628	2493	2000
629	4996	2000
630	2497	1745
631	6500	1530
632	2490	1754
633	2497	1758
634	6009	1740
635	2490	1753
636	2747	4251
637	5239	1760
638	2506	1757
639	6002	1597
640	2489	1751
641	2498	1769
642	6008	1996
643	2491	1755
644	2756	1734
645	4992	1738
646	2245	2005
647	6499	1488
648	2493	1997
649	2757	2005
650	5748	1743
651	2495	1747
652	2493	2000
653	2497	6507
654	6999	1749
655	2751	1743
656	2239	1999
657	2745	4751
658	5250	1756
659	2752	1747
660	5746	1499
661	1758	995
662	744	1252
663	744	6992
664	7838	1407
665	5913	1494
666	1498	1002
667	1498	2750
668	6746	1751
669	2248	2000
670	2748	1752
671	7600	1639
672	2389	1767
673	2754	1500
674	2496	1751
675	5249	1748
676	2496	2000
677	5746	1751
678	747	1754
679	747	3501
680	7500	1759
681	2496	1748
682	2744	1758
683	5750	1752
684	2498	2001
685	2749	1993
686	5744	1754
